ecCounts	passage	cellID
437.993841135133	P4	R23-C54
287.509375042525	P4	R24-C08
349.344285243836	P4	R08-C52
327.446840651479	P4	R12-C47
254.11109717149	P4	R07-C70
286.016410536377	P4	R06-C13
305.458864221805	P4	R16-C61
264.558675429863	P4	R13-C52
494.923275259423	P4	R15-C30
222.776618415279	P4	R13-C70
201.884557796921	P4	R08-C07
182.63894911497	P4	R14-C30
193.158962157687	P4	R17-C66
222.487695018648	P4	R08-C37
196.454660572432	P4	R23-C65
156.220860191712	P4	R08-C46
184.295317764465	P4	R27-C20
192.479680000099	P4	R11-C28
163.055041277121	P4	R23-C56
163.754656550707	P4	R18-C30
177.63660957327	P4	R24-C32
136.825150231562	P4	R21-C34
143.61166860759	P4	R13-C32
152.687677312148	P4	R04-C11
147.785673466041	P4	R14-C12
167.683166062969	P4	R24-C42
112.510655845034	P4	R27-C13
140.952713944804	P4	R24-C47
126.490099264425	P4	R17-C48
128.729142218356	P4	R15-C61
205.232660813511	P4	R15-C07
125.561671172515	P4	R14-C37
121.647705754982	P4	R05-C29
129.822092737434	P4	R17-C30
136.836222163483	P4	R08-C18
117.958374773479	P4	R08-C57
120.221899898971	P4	R21-C18
125.530285198386	P4	R16-C26
124.87120817926	P4	R23-C47
97.2041770233095	P4	R06-C52
115.002300018667	P4	R15-C69
104.249003506578	P4	R14-C36
110.985156765817	P4	R17-C26
127.577135646151	P4	R27-C08
118.403707702142	P4	R15-C31
328.59786543183	P4	R07-C40
104.355566455638	P4	R12-C46
220.522643707862	P4	R12-C59
105.407264363233	P4	R06-C58
93.864920537656	P4	R14-C26
106.197010909322	P4	R13-C49
102.348422441808	P4	R20-C70
119.467473799252	P4	R04-C18
99.3044731339228	P4	R13-C48
77.9307631674487	P4	R12-C67
106.484447132868	P4	R12-C43
98.065654362037	P4	R06-C31
102.590217064807	P4	R06-C16
87.8945212526343	P4	R23-C42
90.9864513019852	P4	R06-C30
84.6527051045472	P4	R21-C14
123.958204653055	P4	R07-C69
89.4067546998974	P4	R20-C64
91.7979819112588	P4	R19-C28
98.5198735866547	P4	R03-C19
140.178178150927	P4	R15-C58
110.397005210511	P4	R16-C12
68.6931624019472	P4	R15-C11
84.3748941542789	P4	R13-C56
84.2827895609507	P4	R27-C54
77.8285110955363	P4	R09-C07
76.9279929155591	P4	R05-C18
88.3639653479118	P4	R08-C08
108.891122816237	P4	R24-C14
79.4408239268459	P4	R14-C49
88.4151522728375	P4	R11-C15
81.5171988509139	P4	R23-C16
87.676014268246	P4	R04-C09
94.2551703816117	P4	R11-C08
84.6678579823531	P4	R04-C12
114.178867459214	P4	R15-C27
76.8502497212967	P4	R24-C35
87.7732454718122	P4	R05-C17
77.9235386651082	P4	R18-C24
74.5575587621799	P4	R04-C48
79.5687540832168	P4	R22-C49
80.9281146688658	P4	R11-C59
81.3568818138703	P4	R05-C09
70.7152044455765	P4	R21-C65
82.0594355987927	P4	R04-C29
76.2595428872232	P4	R20-C46
86.5346368555547	P4	R16-C35
82.1311960467768	P4	R16-C59
79.7089646717296	P4	R18-C67
79.6530471969315	P4	R05-C45
69.7523880009513	P4	R04-C57
80.381097120765	P4	R17-C35
69.6809983802715	P4	R03-C21
70.7227606972279	P4	R12-C58
78.6801260513443	P4	R04-C68
96.5381337168455	P4	R27-C15
71.0221883756498	P4	R24-C19
82.0822166541046	P4	R07-C11
92.5282149616414	P4	R14-C19
69.1763820972737	P4	R10-C26
64.4237604321851	P4	R09-C54
58.0308272921384	P4	R08-C62
67.6957578876217	P4	R17-C59
61.0894271791956	P4	R14-C29
69.8752266442973	P4	R11-C07
64.7775664263528	P4	R04-C07
67.8974549792082	P4	R28-C10
59.1830213541383	P4	R04-C51
72.1819145862485	P4	R07-C50
62.1850771586953	P4	R07-C17
62.97440221479	P4	R14-C38
87.4487862879194	P4	R14-C61
49.6136870161022	P4	R03-C52
76.8314600860723	P4	R21-C51
91.1008353819811	P4	R19-C41
65.7584821837157	P4	R22-C07
65.4646717078385	P4	R14-C23
72.1278609514436	P4	R17-C68
66.9321311799363	P4	R27-C18
62.5616155482365	P4	R08-C16
57.1453104466266	P4	R10-C64
59.3476941511242	P4	R19-C11
72.6756093959318	P4	R13-C61
42.6776871947536	P4	R27-C09
52.4684569520437	P4	R24-C38
53.0341926011917	P4	R20-C60
58.1394726560636	P4	R08-C51
62.3214541657754	P4	R07-C28
58.4731913056076	P4	R14-C43
53.584943264313	P4	R08-C28
71.9316162802627	P4	R03-C18
54.7643704362633	P4	R04-C30
58.3112812555621	P4	R21-C52
53.8891529134447	P4	R24-C07
48.1543276384314	P4	R18-C60
52.0510261437449	P4	R08-C30
53.030915408168	P4	R16-C24
56.5379238137678	P4	R13-C40
48.1121136864737	P4	R22-C57
53.9370975940823	P4	R21-C46
43.7837999448214	P4	R04-C25
51.3325864539808	P4	R07-C30
49.5612404512473	P4	R11-C54
53.7041695771896	P4	R19-C36
53.0131078052321	P4	R16-C46
